Date Sampled,Address,1st Draw,2-3 Minute,5 Minute
10/16/2019,1000XX S OAKLEY AVE,3,10,9.6
2/23/2019,100XX S ARTESIAN AVE,9.2,4.3,2.5
5/3/2019,100XX S ARTESIAN AVE,1.1,2.9,1.3
5/5/2019,100XX S ARTESIAN AVE,1.2,2.6,< 1
11/30/2021,100XX S AVENUE L ,3.6,16,4.6
5/23/2020,100XX S AVENUE M,3.9,2.5,1.7
4/23/2018,100XX S BELL AVE,1.7,3.4,1.6
3/6/2019,100XX S BELL AVE,1.4,1.9,< 1
4/28/2019,100XX S BELL AVE,23,4.3,<1
8/23/2019,100XX S BELL AVE,4,5.8,2.6
9/26/2019,100XX S BELL AVE,2.3,5,3.6
11/7/2020,100XX S BELL AVE,1.8,1.8,< 1
6/6/2016,100XX S CALHOUN AVE,4.1,5.1,9.8
2/17/2019,100XX S CALIFORNIA AVE,4.5,8,2
3/2/2019,100XX S CALIFORNIA AVE,5.6,4,1.1
5/7/2019,100XX S CALIFORNIA AVE,2.9,7,< 1
7/16/2019,100XX S CALUMET AVE,4.7,6.1,2.6
8/2/2019,100XX S CALUMET AVE,5.1,20,6.9
8/29/2019,100XX S CALUMET AVE,12,7.1,4.4
10/13/2020,100XX S CALUMET AVE,2.7,4.5,2.6
4/13/2022,100XX S CALUMET AVE ,7,0.9,<0.5
