geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US17031010100,"Census Tract 101, Cook, IL",4534,691,3768,652,1832,467,1725,466,0,12,81,81,0,12,0,12,130,95,45,58,85,78,766,347,173,108,26,48,0,12,0,12,0,12,221,211,346,296,306,296,40,34
14000US17031010201,"Census Tract 102.01, Cook, IL",8232,1160,6185,1037,2074,739,3100,1044,0,17,346,271,0,17,98,120,567,597,0,17,567,597,2047,691,589,328,169,196,34,59,19,31,0,17,699,414,537,394,522,391,15,26
14000US17031010202,"Census Tract 102.02, Cook, IL",3124,489,2289,531,902,233,1032,458,0,12,174,173,0,12,149,121,32,24,12,19,20,23,835,247,304,187,0,12,37,52,0,12,0,12,409,300,85,101,85,101,0,12
14000US17031010300,"Census Tract 103, Cook, IL",6085,971,5027,648,2836,433,1745,661,33,52,215,145,7,17,0,17,191,114,11,17,180,113,1058,794,221,121,14,24,26,40,0,17,0,17,716,806,81,96,37,76,44,68
14000US17031010400,"Census Tract 104, Cook, IL",4587,675,4221,678,3342,553,491,268,0,12,240,164,0,12,16,26,132,102,0,12,132,102,366,136,277,114,7,15,0,12,0,12,0,12,56,73,26,32,26,32,0,12
14000US17031010501,"Census Tract 105.01, Cook, IL",4057,718,3684,675,2438,617,949,358,0,12,248,157,0,12,0,12,49,50,0,12,49,50,373,203,49,78,35,42,0,12,26,41,0,12,186,168,77,73,77,73,0,12
14000US17031010502,"Census Tract 105.02, Cook, IL",2816,341,2462,240,1652,248,483,178,0,12,168,73,0,12,9,14,150,95,20,25,130,97,354,219,38,30,25,71,3,5,0,12,0,12,206,224,82,59,82,59,0,12
14000US17031010503,"Census Tract 105.03, Cook, IL",2182,403,2143,401,1644,382,258,105,0,12,109,55,0,12,0,12,132,90,18,26,114,88,39,36,38,36,0,12,0,12,0,12,0,12,0,12,1,4,1,4,0,12
14000US17031010600,"Census Tract 106, Cook, IL",6553,1064,5543,1071,3490,759,1422,644,0,17,265,175,0,17,0,17,366,249,23,35,343,245,1010,559,253,113,0,17,0,17,0,17,0,17,698,578,59,55,59,55,0,17
14000US17031010701,"Census Tract 107.01, Cook, IL",3646,525,2352,284,1340,213,704,171,0,12,200,139,0,12,1,13,107,88,0,12,107,88,1294,551,395,253,0,12,71,83,0,12,0,12,689,493,139,124,69,65,70,90
